Year; Week; Age Group;A (H1);A (Unable to Subtype);A (H3);A (H1N1)pdm09;A (Subtyping not Performed);B (Victoria Lineage);B (Yamagata Lineage);B (Lineage Unspecified);H3N2v
2016;40;0-4 yr;0;0;1;0;0;0;0;0;0
2016;40;5-24 yr;0;0;6;1;1;1;0;1;0
2016;40;25-64 yr;0;0;9;3;0;0;0;0;0
2016;40;65+ yr;0;0;9;0;3;0;0;0;0
2015;40;0-4 yr;0;0;7;2;0;0;0;1;0
2015;41;0-4 yr;0;0;2;1;1;1;0;1;0
2015;42;0-4 yr;0;0;1;1;0;1;1;1;0
2015;43;0-4 yr;0;0;4;1;1;0;0;0;0
2015;44;0-4 yr;0;0;1;1;3;0;0;2;0
2015;45;0-4 yr;0;0;2;1;0;0;0;3;0
2015;46;0-4 yr;0;0;1;8;0;0;0;1;0
2015;47;0-4 yr;0;0;2;5;0;1;0;0;0
2015;48;0-4 yr;0;0;1;2;0;0;0;4;0
2015;49;0-4 yr;0;0;6;5;0;0;2;3;0
2015;50;0-4 yr;0;0;4;10;0;0;1;1;0
2015;51;0-4 yr;0;0;4;7;0;0;2;2;0
2015;52;0-4 yr;0;0;4;23;0;1;0;0;0
2016;1;0-4 yr;0;0;4;30;0;0;1;0;0
2016;2;0-4 yr;0;0;6;28;2;2;3;3;0
2016;3;0-4 yr;0;0;8;51;2;4;2;6;0
2016;4;0-4 yr;0;0;14;75;2;2;11;2;0
2016;5;0-4 yr;0;0;15;84;3;12;12;6;0
2016;6;0-4 yr;0;0;20;96;2;7;10;4;0
2016;7;0-4 yr;0;0;25;177;2;15;13;5;0
2016;8;0-4 yr;0;0;14;177;3;17;17;11;0
2016;9;0-4 yr;0;0;16;246;3;16;15;12;0
2016;10;0-4 yr;0;0;23;275;3;9;23;13;0
2016;11;0-4 yr;0;0;17;182;0;21;16;9;0
2016;12;0-4 yr;0;0;13;103;0;18;12;11;0
2016;13;0-4 yr;0;0;11;102;2;17;21;18;0
2016;14;0-4 yr;0;0;5;66;0;12;9;18;0
2016;15;0-4 yr;0;0;4;43;1;7;7;20;0
2016;16;0-4 yr;0;0;11;31;1;6;5;13;0
2016;17;0-4 yr;0;0;2;16;0;7;4;4;0
2016;18;0-4 yr;0;0;1;8;0;7;6;3;0
2016;19;0-4 yr;0;0;2;5;0;4;2;4;0
2016;20;0-4 yr;0;0;5;3;0;2;3;4;0
2016;21;0-4 yr;0;0;2;2;1;1;2;4;0
2016;22;0-4 yr;0;0;2;0;0;4;2;3;0
2016;23;0-4 yr;0;0;2;0;0;2;0;1;0
2016;24;0-4 yr;0;0;1;0;0;2;1;2;0
2016;25;0-4 yr;0;0;4;1;0;0;3;1;0
2016;26;0-4 yr;0;0;2;1;1;3;1;0;0
2016;27;0-4 yr;0;0;1;1;0;0;1;3;0
2016;28;0-4 yr;0;0;0;0;0;0;1;0;0
2016;29;0-4 yr;0;0;2;0;0;0;1;1;0
2016;30;0-4 yr;0;0;1;0;0;0;2;0;0
2016;31;0-4 yr;0;0;3;0;0;0;0;0;1
2016;32;0-4 yr;0;0;5;3;0;0;0;0;4
2016;33;0-4 yr;0;0;3;0;0;0;0;1;1
2016;34;0-4 yr;0;0;3;0;0;2;0;1;0
2016;35;0-4 yr;0;0;5;1;0;0;0;1;0
2016;36;0-4 yr;0;0;1;0;0;1;0;0;0
2016;37;0-4 yr;0;0;4;0;1;1;0;1;0
2016;38;0-4 yr;0;0;3;0;0;1;0;1;0
2016;39;0-4 yr;0;0;5;1;0;0;0;0;0
2015;40;5-24 yr;0;0;5;0;0;0;0;2;0
2015;41;5-24 yr;0;0;11;0;0;1;0;4;0
2015;42;5-24 yr;0;0;7;2;0;1;1;3;0
2015;43;5-24 yr;0;0;6;2;2;1;1;4;0
2015;44;5-24 yr;0;0;8;0;0;1;1;4;0
2015;45;5-24 yr;0;0;14;4;0;3;2;4;0
2015;46;5-24 yr;0;0;15;3;0;0;0;3;0
2015;47;5-24 yr;0;0;7;1;0;2;3;1;0
2015;48;5-24 yr;0;0;11;9;0;2;5;2;0
2015;49;5-24 yr;0;0;12;9;1;1;3;7;0
2015;50;5-24 yr;0;0;13;17;0;2;6;3;0
2015;51;5-24 yr;0;0;9;16;0;2;4;2;0
2015;52;5-24 yr;0;0;15;17;0;4;5;1;0
2016;1;5-24 yr;0;0;18;41;1;2;6;5;0
2016;2;5-24 yr;0;0;30;50;0;11;9;12;0
2016;3;5-24 yr;0;0;44;80;3;10;35;11;0
2016;4;5-24 yr;0;0;80;121;4;17;25;34;0
2016;5;5-24 yr;0;0;74;172;2;27;42;34;0
2016;6;5-24 yr;0;0;82;212;1;28;63;53;0
2016;7;5-24 yr;0;0;88;318;6;33;64;50;0
2016;8;5-24 yr;0;0;77;400;8;66;117;62;0
2016;9;5-24 yr;0;0;94;447;5;52;85;70;0
2016;10;5-24 yr;0;0;105;498;15;85;85;76;0
2016;11;5-24 yr;0;0;72;321;3;64;67;54;0
2016;12;5-24 yr;0;0;66;221;3;52;52;55;0
2016;13;5-24 yr;0;0;54;132;6;48;38;58;0
2016;14;5-24 yr;0;0;33;112;4;39;31;50;0
2016;15;5-24 yr;0;0;42;80;1;44;26;43;0
2016;16;5-24 yr;0;0;45;61;3;41;31;68;0
2016;17;5-24 yr;0;0;44;33;0;37;27;37;0
2016;18;5-24 yr;0;0;32;5;0;23;17;29;0
2016;19;5-24 yr;0;0;30;8;0;19;16;24;0
2016;20;5-24 yr;0;0;29;7;0;6;15;18;0
2016;21;5-24 yr;0;0;17;3;0;8;8;12;0
2016;22;5-24 yr;0;0;3;1;0;6;9;9;0
2016;23;5-24 yr;0;0;4;0;0;2;7;7;0
2016;24;5-24 yr;0;0;5;1;0;3;3;1;0
2016;25;5-24 yr;0;0;7;1;0;3;3;3;0
2016;26;5-24 yr;0;0;4;0;1;1;3;3;0
2016;27;5-24 yr;0;0;2;0;0;2;5;0;0
2016;28;5-24 yr;0;0;9;0;1;1;1;1;0
2016;29;5-24 yr;0;0;7;1;0;0;5;1;0
2016;30;5-24 yr;0;0;22;0;0;2;1;0;1
2016;31;5-24 yr;0;0;33;0;2;0;2;0;2
2016;32;5-24 yr;0;0;7;0;0;0;5;0;5
2016;33;5-24 yr;0;0;7;1;0;1;2;1;3
2016;34;5-24 yr;0;0;7;2;0;0;2;1;0
